lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
"Medan Maimun, Medan",20.44882899256044,Rumah,2.0,2.0,0.0,3.8918202981106265,4.5217885770490405
"Medan Baru, Medan",22.3719244627261,Ruko,0.0,3.0,0.0,5.937536205082426,5.755742213586912
"Medan Polonia, Medan",23.526626217913552,Rumah,4.0,4.0,1.0,5.968707559985366,6.447305862541213
"Medan Johor, Medan",20.721263835277743,Rumah,2.0,2.0,1.0,4.3694478524670215,5.056245805348308
"Medan Labuhan, Medan",19.879295768977464,Rumah,4.0,2.0,2.0,5.755742213586912,5.459585514144159
"Medan Johor, Medan",21.000897574302268,Rumah,3.0,3.0,1.0,4.770684624465665,5.017279836814924
"Medan Sunggal, Medan",22.15835036247383,Rumah,5.0,4.0,2.0,5.8888779583328805,5.081404364984463
"Medan Sunggal, Medan",21.511723197765228,Rumah,4.0,5.0,2.0,5.198497031265826,5.4638318050256105
"Medan Johor, Medan",21.311052502404085,Rumah,14.0,9.0,3.0,5.66988092298052,5.808142489980444
"Medan Johor, Medan",20.60448230208257,Rumah,3.0,2.0,1.0,4.442651256490317,4.61512051684126
"Medan Sunggal, Medan",21.05973807428191,Rumah,3.0,2.0,1.0,4.859812404361672,5.017279836814924
"Medan Johor, Medan",19.328939308161516,Rumah,2.0,1.0,0.0,4.290459441148391,3.713572066704308
"Medan Sunggal, Medan",20.36659089443625,Rumah,3.0,3.0,1.0,4.290459441148391,4.574710978503383
"Medan Johor, Medan",19.376192192825954,Rumah,2.0,1.0,1.0,4.290459441148391,3.828641396489095
"Medan Sunggal, Medan",19.750404756229365,Rumah,3.0,2.0,1.0,4.290459441148391,4.394449154672439
"Medan Kota, Medan",20.9055873945737,Rumah,4.0,2.0,1.0,4.844187086458591,5.442417710521793
"Medan Sunggal, Medan",21.465203182151978,Rumah,5.0,4.0,2.0,5.049856007249537,5.303304908059076
"Medan Johor, Medan",21.02337043013749,Rumah,4.0,4.0,1.0,4.875197323201151,5.017279836814924
"Medan Sunggal, Medan",20.94640938906062,Rumah,5.0,4.0,2.0,5.043425116919247,5.303304908059076
"Medan Kota, Medan",23.28821519448487,Rumah,6.0,0.0,4.0,6.035481432524756,6.55250788703459
"Medan Sunggal, Medan",19.376192192825954,Rumah,2.0,1.0,0.0,4.290459441148391,3.828641396489095
"Medan Sunggal, Medan",20.204071965190575,Rumah,3.0,2.0,1.0,4.574710978503383,4.574710978503383
"Medan Timur, Medan",21.639556569220566,Ruko,0.0,0.0,0.0,4.919980925828125,4.442651256490317
"Medan Helvetia, Medan",21.716517610327063,Rumah,3.0,3.0,0.0,4.290459441148391,5.564520407322694
"Medan Sunggal, Medan",22.009739863060332,Rumah,2.0,2.0,0.0,4.762173934797756,5.017279836814924
"Medan Sunggal, Medan",21.282881625453264,Rumah,4.0,2.0,0.0,4.948759890378168,4.844187086458591
"Medan Timur, Medan",20.9055873945737,Ruko,0.0,3.0,0.0,4.68213122712422,5.303304908059076
"Medan Helvetia, Medan",20.560746908625106,Rumah,4.0,3.0,2.0,5.402677381872279,5.69035945432406
"Medan Sunggal, Medan",20.94640938906062,Rumah,3.0,2.0,0.0,5.056245805348308,4.997212273764115
"Medan Selayang, Medan",21.12873094572124,Rumah,5.0,3.0,0.0,4.787491742782046,5.049856007249537
"Medan Selayang, Medan",20.204071965190575,Rumah,3.0,1.0,0.0,4.6913478822291435,4.110873864173311
"Medan Perjuangan, Medan",21.716517610327063,Rumah,4.0,3.0,0.0,5.860786223465865,5.303304908059076
"Medan Selayang, Medan",20.125428838008972,Rumah,2.0,1.0,1.0,4.59511985013459,4.02535169073515
"Medan Johor, Medan",21.02337043013749,Rumah,4.0,4.0,2.0,4.709530201312334,5.017279836814924
"Medan Selayang, Medan",20.435583765827964,Rumah,3.0,2.0,2.0,4.948759890378168,4.2626798770413155
"Medan Johor, Medan",20.107079699374445,Rumah,2.0,1.0,1.0,4.51085950651685,3.9318256327243257
"Medan Selayang, Medan",20.020068322553165,Rumah,2.0,1.0,1.0,4.574710978503383,3.9318256327243257
"Medan Johor, Medan",19.74243658660135,Rumah,2.0,1.0,1.0,4.795790545596741,3.9318256327243257
"Medan Johor, Medan",20.192237507563583,Rumah,3.0,2.0,1.0,4.290459441148391,4.290459441148391
"Medan Sunggal, Medan",20.711193256724286,Rumah,3.0,3.0,1.0,4.3694478524670215,4.795790545596741
"Medan Kota, Medan",19.999659450963613,Rumah,2.0,1.0,1.0,4.204692619390966,3.970291913552122
"Medan Sunggal, Medan",19.801962565761276,Rumah,2.0,1.0,1.0,4.290459441148391,3.828641396489095
"Medan Johor, Medan",20.107079699374445,Rumah,2.0,1.0,1.0,4.948759890378168,4.02535169073515
"Medan Selayang, Medan",20.9055873945737,Rumah,3.0,2.0,1.0,5.303304908059076,4.61512051684126
"Medan Helvetia, Medan",21.311052502404085,Rumah,4.0,3.0,2.0,5.53338948872752,5.017279836814924
"Medan Johor, Medan",20.152336290880626,Rumah,2.0,1.0,1.0,4.634728988229636,4.110873864173311
"Medan Petisah, Medan",20.125428838008972,Rumah,2.0,2.0,1.0,4.51085950651685,4.795790545596741
"Medan Amplas, Medan",20.985630102183134,Rumah,4.0,4.0,1.0,5.135798437050262,5.170483995038151
"Medan Area, Medan",20.818576017659826,Rumah,3.0,3.0,2.0,5.049856007249537,4.844187086458591
"Medan Kota, Medan",22.004199682686252,Ruko,0.0,4.0,0.0,5.017279836814924,5.659482215759621
"Medan Sunggal, Medan",19.85576527162264,Apartemen,1.0,1.0,0.0,3.2188758248682006,3.2188758248682006
"Medan Timur, Medan",22.59506801400185,Rumah,4.0,6.0,0.0,4.795790545596741,6.398594934535208
"Medan Barat, Medan",21.416413018006356,Apartemen,2.0,1.0,0.0,4.418840607796598,4.418840607796598
"Medan Timur, Medan",21.854667948760092,Apartemen,3.0,3.0,0.0,5.135798437050262,5.135798437050262
"Medan Perjuangan, Medan",22.045021677195397,Ruko,0.0,4.0,0.0,5.58724865840025,4.844187086458591
"Medan Perjuangan, Medan",21.639556569220566,Ruko,0.0,3.0,0.0,4.795790545596741,6.0330862217988015
"Medan Barat, Medan",19.867599729241633,Rumah,0.0,0.0,0.0,4.394449154672439,4.394449154672439
"Medan Barat, Medan",20.7030631306493,Apartemen,1.0,1.0,0.0,3.367295829986474,3.367295829986474
"Medan Barat, Medan",20.7030631306493,Apartemen,1.0,1.0,0.0,3.367295829986474,3.367295829986474
"Medan Barat, Medan",21.416413018006356,Apartemen,1.0,1.0,0.0,4.07753744390572,4.07753744390572
"Medan Barat, Medan",21.416413018006356,Apartemen,2.0,0.0,0.0,4.442651256490317,4.442651256490317
"Medan Area, Medan",20.435583765827964,Rumah,3.0,3.0,0.0,4.875197323201151,4.709530201312334
"Medan Denai, Medan",20.192237507563583,Rumah,0.0,0.0,0.0,5.170483995038151,5.170483995038151
"Medan Deli, Medan",20.800226879008466,Ruko,0.0,0.0,0.0,4.174387269895637,4.174387269895637
"Medan Helvetia, Medan",20.985630102183134,Rumah,3.0,2.0,0.0,5.484796933490655,5.017279836814924
"Medan Tembung, Medan",20.9055873945737,Rumah,3.0,4.0,1.0,4.394449154672439,4.709530201312334
"Medan Petisah, Medan",19.519293035953808,Rumah,0.0,0.0,0.0,4.290459441148391,3.8918202981106265
"Medan Tembung, Medan",20.48500864909119,Rumah,0.0,0.0,0.0,4.969813299576001,4.77912349311153
"Medan Helvetia, Medan",20.72326583794641,Ruko,0.0,3.0,1.0,5.1298987149230735,5.1298987149230735
"Medan Tembung, Medan",21.12873094572124,Rumah,3.0,2.0,0.0,5.953243334287785,5.820082930352362
"Medan Helvetia, Medan",22.181880859878486,Ruko,0.0,3.0,0.0,6.329720905522696,6.1070228877422545
"Medan Timur, Medan",20.94640938906062,Rumah,0.0,0.0,0.0,5.602118820879701,5.017279836814924
"Medan Deli, Medan",21.299879201812203,Rumah,3.0,3.0,1.0,4.574710978503383,4.795790545596741
"Medan Tembung, Medan",20.64530429655778,Rumah,3.0,3.0,0.0,4.795790545596741,4.795790545596741
"Medan Johor, Medan",20.650695145186845,Rumah,2.0,2.0,1.0,4.727387818712341,4.7535901911063645
"Medan Tembung, Medan",21.511723197765228,Rumah,0.0,0.0,0.0,5.755742213586912,5.572154032177765
"Medan Timur, Medan",21.787976574283668,Apartemen,4.0,3.0,0.0,4.955827057601261,4.955827057601261
"Medan Barat, Medan",21.365119723645122,Apartemen,2.0,1.0,0.0,4.418840607796598,4.418840607796598
"Medan Sunggal, Medan",20.125428838008972,Apartemen,1.0,1.0,0.0,3.2188758248682006,3.2188758248682006
"Medan Area, Medan",21.22404112546496,Apartemen,2.0,1.0,0.0,4.143134726391533,4.143134726391533
"Medan Baru, Medan",20.57244294837462,Apartemen,1.0,1.0,0.0,3.713572066704308,3.713572066704308
"Medan Johor, Medan",20.435583765827964,Rumah,0.0,0.0,0.0,4.61512051684126,4.61512051684126
"Medan Timur, Medan",20.560746908625106,Rumah,0.0,0.0,0.0,4.709530201312334,4.02535169073515
"Medan Sunggal, Medan",20.125428838008972,Ruko,0.0,0.0,0.0,4.653960350157523,4.543294782270004
"Medan Timur, Medan",20.671972543611492,Rumah,3.0,3.0,0.0,4.875197323201151,4.875197323201151
"Medan Timur, Medan",20.61233427735645,Rumah,0.0,0.0,0.0,4.844187086458591,4.844187086458591
"Medan Barat, Medan",21.073922709263805,Rumah,0.0,0.0,0.0,4.442651256490317,5.351858133476067
"Medan Sunggal, Medan",21.282881625453264,Rumah,3.0,3.0,1.0,4.574710978503383,5.37989735354046
"Medan Timur, Medan",20.48500864909119,Rumah,0.0,0.0,0.0,5.564520407322694,5.564520407322694
"Medan Timur, Medan",20.41945438391976,Rumah,3.0,2.0,0.0,4.836281906951478,4.727387818712341
"Medan Denai, Medan",20.192237507563583,Rumah,1.0,1.0,0.0,4.2626798770413155,4.948759890378168
"Medan Tembung, Medan",20.560746908625106,Rumah,2.0,2.0,0.0,3.713572066704308,4.795790545596741
"Medan Sunggal, Medan",22.05826690394191,Apartemen,2.0,2.0,0.0,4.948759890378168,4.948759890378168
"Medan Timur, Medan",21.02337043013749,Apartemen,2.0,2.0,0.0,4.356708826689592,4.356708826689592
"Medan Helvetia, Medan",20.606732021814054,Rumah,2.0,3.0,0.0,5.017279836814924,4.61512051684126
"Medan Timur, Medan",20.72326583794641,Rumah,2.0,3.0,0.0,4.61512051684126,4.330733340286331
"Medan Timur, Medan",21.534196053607186,Rumah,3.0,4.0,0.0,4.406719247264253,4.110873864173311
"Medan Timur, Medan",21.193269466817146,Ruko,0.0,3.0,0.0,5.849324779946859,5.4680601411351315
"Medan Kota, Medan",22.29188175506859,Ruko,0.0,1.0,0.0,5.231108616854587,5.176149732573829
"Medan Tembung, Medan",20.64530429655778,Rumah,0.0,0.0,0.0,4.890349128221754,4.795790545596741
"Medan Barat, Medan",20.560746908625106,Rumah,3.0,3.0,0.0,5.081404364984463,4.836281906951478
"Medan Barat, Medan",19.72087240874364,Rumah,2.0,1.0,0.0,4.23410650459726,4.07753744390572
"Medan Baru, Medan",20.59543246657289,Rumah,2.0,1.0,0.0,4.61512051684126,4.51085950651685
"Medan Barat, Medan",21.193269466817146,Ruko,0.0,3.0,0.0,4.859812404361672,4.442651256490317
"Medan Sunggal, Medan",21.391095210034887,Rumah,3.0,2.0,1.0,5.351858133476067,4.454347296253507
"Medan Selayang, Medan",20.435583765827964,Rumah,3.0,2.0,1.0,4.290459441148391,4.394449154672439
"Medan Helvetia, Medan",21.311052502404085,Rumah,4.0,3.0,1.0,5.53338948872752,5.53338948872752
