nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
Dijual Ruko Jl. Iskandar Muda Medan Sumatra Utara,"Medan Petisah, Medan",Rp 14 Miliar Total,Ruko,,,,731 m²,248 m²
RUMAH  PASAR III KOMP. BIMA,"Medan Timur, Medan",Rp 600 Juta,Rumah,2,2,,52 m²,104 m²
RUMAH JL. DUYUNG KONDISI SIAP HUNI FULL PERABOT MEDAN AREA,"Medan Area, Medan",Rp 2 Miliar,Rumah,5,4,,135 m²,135 m²
"RUKO DI JL KARYA , MEDAN BARAT","Medan Barat, Medan","Rp 1,95 Miliar Total",Ruko,,2,,104 m²,192 m²
KOMPLEK BRAYAN CITY,"Medan Barat, Medan","Rp 1,75 Miliar",Rumah,3,3,,60 m²,188 m²
RingRoad City,"Medan Sunggal, Medan",Rp 928 Juta,Rumah,4,3,,75 m²,150 m²
Rumah 2 Lantai di Medan Kota,"Medan Kota, Medan","Rp 2,85 Miliar",Rumah,2,3,,130 m²,205 m²
RUMAH KOMPLEK MARELAN SEJATI,"Marelan, Medan",Rp 330 Juta,Rumah,2,1,,57 m²,45 m²
DIJUAL RUKO MEDAN SUNGGAL,"Medan Sunggal, Medan","Rp 1,2 Miliar Total",Ruko,,3,,64 m²,192 m²
RUMAH PULO BRAYAN BENGKEL,"Medan Timur, Medan",Rp 1 Miliar,Rumah,4,2,,90 m²,162 m²
GARDENIA BY GREENPARK,"Medan Amplas, Medan","Rp 1,26 Miliar",Rumah,4,3,,90 m²,130 m²
Rumah KOMPLEK di Medan Helvetia,"Medan Helvetia, Medan","Rp 1,2 Miliar",Rumah,3,2,,84 m²,108 m²
RUMAH MEWAH KAWASAN MEDAN HELVETIA,"Medan Helvetia, Medan","Rp 1,87 Miliar",Rumah,4,5,,94 m²,220 m²
Dijual Ruko Komplek Taman Setia Budi Medan Selayang,"Medan Selayang, Medan","Rp 1,29 Miliar Total",Ruko,,,,114 m²,234 m²
"RUKO DI JL KARYA , MEDAN BARAT","Medan Barat, Medan","Rp 1,95 Miliar Total",Ruko,,2,,104 m²,192 m²
Dijual Ruko Jl. Arif Rahman Hakim Medan Perjuangan,"Medan Perjuangan, Medan","Rp 1,69 Miliar Total",Ruko,,,,71 m²,234 m²
Apartemen Podomoro - Tower Empire,"Medan Barat, Medan","Rp 2,4 Miliar",Apartemen,1,2,,,62 m²
Rumah Keren Siap Huni Daerah Medan Helvetia,"Medan Helvetia, Medan",Rp 985 Juta,Rumah,3,2,1,78 m²,140 m²
Townhouse Baru Jalan Tuasan Komplek Global Haus Daerah Tembung,"Medan Tembung, Medan",Rp 875 Juta,Rumah,3,3,1,40 m²,40 m²
Townhouse Baru Sekitar Pancing Komplek Global Haus Jalan Tuasan,"Medan Tembung, Medan",Rp 875 Juta,Rumah,3,3,1,40 m²,40 m²
Townhouse Baru Jalan Tuasan Komplek Global Haus Sekitar Krakatau,"Medan Tembung, Medan",Rp 875 Juta,Rumah,3,3,1,40 m²,40 m²
Townhouse Baru Komplek Global Haus Jalan Tuasan Sekitar Pancing,"Medan Tembung, Medan",Rp 875 Juta,Rumah,3,3,1,40 m²,40 m²
Dijual Ruko Jl. Gatot Subroto Medan Petisah,"Medan Petisah, Medan","Rp 3,24 Miliar Total",Ruko,,,,81 m²,258 m²
Rumah 2 Lantai Di Jl Karya Wisata Johor,"Medan Johor, Medan","Rp 1,9 Miliar",Rumah,4,4,1,187 m²,300 m²
Dijual Cepat Rumah Mewah Daerah Padang Bulan,"Medan Selayang, Medan","Rp 9,5 Miliar",Rumah,,,,1500 m²,400 m²
"Jual Cepat Harga Murah Ruko Dalam Komplek , Lokasi di Jl. Perbatasan, Tj. Garbus Satu, Kec. Lubuk Pakam, Kabupaten Deli Serdang, Sumatera Utara, Lubuk Pakam","Lubuk Pakam, Medan",Rp 500 Juta Total,Ruko,,2,,64 m²,64 m²
Ruko Adam Malik Dalam,"Medan Barat, Medan","Rp 2,1 Miliar Total",Ruko,,3,,64 m²,288 m²
Ruko Di Jalan Pandu Simpang Sutomo,"Medan Kota, Medan","Rp 4,8 Miliar",Ruko,,1,,72 m²,216 m²
Rumah Baru Jalan Istiqomah Komplek Karya De Villas Tahap 2,"Medan Helvetia, Medan",Rp 638 Juta,Rumah,2,2,1,60 m²,72 m²
Rumah Baru 2 Tingkat Karya De Villas Tahap 2 Jalan Istiqomah,"Medan Helvetia, Medan",Rp 700 Juta,Rumah,2,2,1,88 m²,85 m²
DIJUAL VILLA JALAN TAPIAN NAULI KOMPLEK SENTOSA PARK,"Medan Sunggal, Medan","Rp 1,24 Miliar",Rumah,4,3,,60 m²,80 m²
Rumah Baru Karya De Villas Tahap 2 Jalan Istiqomah Sekitar Karya,"Medan Helvetia, Medan",Rp 638 Juta,Rumah,2,2,1,60 m²,72 m²
DIJUAL RUMAH JALAN BEO INDAH I,"Medan Sunggal, Medan","Rp 1,95 Miliar",Rumah,3,3,,260 m²,100 m²
Dijual Ruko Sangat Cocok Dijadikan Kantor Jl Bridgjend Katamso,"Medan Maimun, Medan","Rp 2,95 Miliar Total",Ruko,,3,,100 m²,350 m²
DIJUAL RUMAH JALAN SULUH,"Medan Tembung, Medan","Rp 1,7 Miliar",Rumah,5,2,,375 m²,375 m²
Dijual Murah Ruko Jalan Tirtosari Daerah Pukat Banting,"Medan Tembung, Medan",Rp 595 Juta Total,Ruko,,2,,54 m²,108 m²
DIJUAL RUMAH JALAN BROMO,"Medan Area, Medan","Rp 1,6 Miliar",Rumah,7,2,,230 m²,345 m²
Rumah Baru Komplek Karya De Villas Tahap 2 Jalan Istiqomah,"Medan Helvetia, Medan",Rp 638 Juta,Rumah,2,2,1,60 m²,72 m²
DIJUAL RUKO JALAN AMAL KOMPLEK GRAND KUSWARI,"Medan Sunggal, Medan","Rp 1,2 Miliar Total",Ruko,,5,,80 m²,256 m²
Dijual Murah Rumah Komplek Anggrek Mas Daerah Yos Sudarso,"Medan Timur, Medan",Rp 500 Juta,Rumah,3,2,1,60 m²,120 m²
RUMAH MELUR MEDAN MAIMUN,"Medan Maimun, Medan","Rp 4,75 Miliar",Rumah,5,3,,135 m²,280 m²
"Dijual Rumah Siap Huni Jl. Sei Batang Serangan, Medan R 0340","Medan Baru, Medan","Rp 5,2 Miliar",Rumah,7,4,3,326 m²,308 m²
RUMAH DI JOHOR MURAH GAYA AMERICAN CLASSIC,"Medan Johor, Medan",Rp 935 Juta,Rumah,3,3,1,90 m²,115 m²
Dijual rumah hook mewah di Padang Bulan Selayang I,"Medan Selayang, Medan",Rp 8 Miliar,Rumah,7,6,,721 m²,417 m²
Rumah Petak Panjang 24 M intikota 200 M dari Jalan Percut Pa,"Medan Perjuangan, Medan",Rp 280 Juta,Rumah,1,1,,96 m²,96 m²
Tanah INTI KOTA  MEDAN PETISAH,"Medan Petisah, Medan",Rp 9 Miliar,Rumah,7,3,,715 m²,140 m²
"Jual Ruko Jalan Besar Perbatasan - Lubuk Pakam , Lokasi Strategis Cocok Untuk Usaha","Lubuk Pakam, Medan",Rp 750 Juta Total,Ruko,,2,,80 m²,64 m²
Ruko Mmtc Bwh Pasaran,"Medan Tembung, Medan","Rp 1,5 Miliar Total",Ruko,,3,,64 m²,224 m²
Ruko Gandeng 3 Letjen Suprapto,"Medan Maimun, Medan","Rp 11,8 Miliar Total",Ruko,,3,,308 m²,840 m²
Rumah Inti Kota. 500 Meter Ke Pajak Beruang. 4 Menit Ke Sutomo 1,"Medan Perjuangan, Medan",Rp 280 Juta,Rumah,1,1,,96 m²,96 m²
Komplek Griya Riatur Medan,"Medan Helvetia, Medan",Rp 9 Miliar,Rumah,5,3,,400 m²,100 m²
Rumah Jl.Karya Kasih Johor,"Medan Johor, Medan","Rp 1,1 Miliar",Rumah,3,3,,312 m²,100 m²
Rumah Jl.Suka kasih Stm,"Medan Amplas, Medan",Rp 875 Juta,Rumah,4,2,,322 m²,150 m²
Rumah Medan Johor,"Johor, Medan","Rp 3,5 Miliar",Rumah,9,8,,300 m²,500 m²
Rumah Jl. Datuk Kabu psr 3 Tembung,"Medan Tembung, Medan",Rp 450 Juta,Rumah,3,2,,141 m²,136 m²
Dijual Apartemen Reiz Condo di Inti Kota Medan,"Medan Kota, Medan",Rp 115 Miliar,Apartemen,1,1,,,50 m²
2 UNIT RUMAH LOKASI PREMIUM DI JALAN URIP MEDAN POLONIA,"Medan Polonia, Medan",Rp 21 Miliar,Rumah,7,6,1,300 m²,500 m²
Dijual rumah tasbi 1,"Medan Selayang, Medan",Rp 4 Miliar,Rumah,5,4,,384 m²,500 m²
Rumah Townhouse 2 Lantai Siap Huni Jl Karya Bakti Pancing,"Medan Tembung, Medan","Rp 1,1 Miliar",Rumah,3,2,2,104 m²,132 m²
Dijual Rumah Murah Jalan Menteng 7 Komplek Grand Menteng Indah,"Medan Denai, Medan",Rp 800 Juta,Rumah,3,2,1,90 m²,120 m²
RUMAH PETAK HARGA MURAH DI JALAN PUKAT BANTING 1 MANDALA,"Medan Tembung, Medan",Rp 480 Juta,Rumah,2,1,,66 m²,48 m²
Dijual townhouse Komplek aman cantik siaphuni pancing bhayangkara,"Medan Tembung, Medan",Rp 880 Juta,Rumah,2,2,,40 m²,90 m²
Dijual townhouse aman siaphuni terawat krakatau medan,"Medan Timur, Medan",Rp 850 Juta,Rumah,2,2,,64 m²,120 m²
Dijual Rumah Imperial court Pancing siaphuni cantik,"Medan Tembung, Medan","Rp 1,35 Miliar",Rumah,3,3,1,88 m²,168 m²
Rumah Komplek Surya Regency Jalan Persatuan Daerah Amir Hamzah,"Medan Helvetia, Medan",Rp 800 Juta,Rumah,3,3,1,120 m²,144 m²
Jual Cepat Rumah Helvetia Komplek Surya Regency Jalan Persatuan,"Medan Helvetia, Medan","Rp 1,5 Miliar",Rumah,3,3,1,120 m²,144 m²
Rumah Daerah Amir Hamzah Komplek Surya Regency Jalan Persatuan,"Medan Helvetia, Medan",Rp 800 Juta,Rumah,3,3,1,120 m²,144 m²
Rumah Komplek Surya Regency Daerah Amir Hamzah Jalan Persatuan,"Medan Helvetia, Medan",Rp 800 Juta,Rumah,3,3,1,120 m²,144 m²
Dijual Rumah Termurah Hook Komplek Surya Regency Daerah Helvetia,"Medan Helvetia, Medan",Rp 800 Juta,Rumah,3,3,1,120 m²,144 m²
RUMAH TOWNHOUSE BEBAS BANJIR JALAN JODIPATI,"Medan Kota, Medan",Rp 650 Juta,Rumah,1,1,,80 m²,96 m²
Dijual Rumah Murah Komplek Grand Menteng Indah Daerah Denai,"Medan Denai, Medan",Rp 800 Juta,Rumah,3,2,1,90 m²,120 m²
SISA 1 UNIT HUNIAN EKSKLUSIF DAERAH PANCING DEKAT CITRALAND,"Medan Tembung, Medan","Rp 1,4 Miliar",Rumah,,,,88 m²,184 m²
Dijual Villa Mewah Konplek Makmur Indah,"Medan Barat, Medan","Rp 6,5 Miliar",Rumah,3,2,1,250 m²,245 m²
Ruko Bisnis Strategis Dekat Pancing dan CItraland Sampali,"Medan Tembung, Medan","Rp 1,3 Miliar Total",Ruko,,3,,88 m²,192 m²
Dijual Unit Podomoro City Deli Medan Unit 1br,"Medan Barat, Medan",Rp 950 Juta,Apartemen,1,1,,,41 m²
Ruko Gandeng 4 di Komplek Grand Cemara Asri,"Medan Tembung, Medan",Rp 15 Miliar Total,Ruko,,12,,256 m²,896 m²
APARTMENT DIAMOND TOWER MANSYUR RESIDENCE (NEW),"Medan Sunggal, Medan",Rp 475 Juta,Apartemen,1,1,,,24 m²
APARTMENT DIAMOND TOWER MANSYUR RESIDENCE (NEW),"Medan Sunggal, Medan",Rp 870 Juta,Apartemen,2,1,,,48 m²
Jual Rumah 2½ Lantai Jl. masjid tembung pasar 10,"Medan Tembung, Medan",Rp 600 Juta,Rumah,3,3,,120 m²,100 m²
Jual Apartemen Podomoro Towe Liberty Lantai 10,"Medan Barat, Medan","Rp 2,1 Miliar",Apartemen,3,3,,,92 m²
Komplek Taman Hako Indah Jl.Pantai Timur,"Medan Helvetia, Medan",Rp 590 Juta,Rumah,4,2,,105 m²,140 m²
Komplek Perumahan Permata Ringroad Medan,"Medan Sunggal, Medan",Rp 900 Juta,Rumah,3,2,,162 m²,90 m²
Jual Rumah Komplek Cendrawasih Village Jl.Garu 6,"Medan Amplas, Medan",Rp 350 Juta,Rumah,2,1,,66 m²,36 m²
Ruko 2½ lantai Jl.Pembangunan Batang Kuis,"Medan Deli, Medan",Rp 495 Juta Total,Ruko,,2,,60 m²,100 m²
Ruko Cantik Jl. Pancasila Batang Kuis,"Medan Deli, Medan",Rp 500 Juta Total,Ruko,,2,,108 m²,64 m²
Jual Rumah Jl.Karya Sastra Pasar 10 Tembung,"Medan Tembung, Medan",Rp 280 Juta,Rumah,2,2,,90 m²,60 m²
Rumah Mewah Puri Zahara 1 Daerah Medan Selayang,"Medan Selayang, Medan",Rp 750 Juta,Rumah,3,2,,120 m²,120 m²
Jual Rumah Daerah Sunggal,"Medan Sunggal, Medan",Rp 950 Juta,Rumah,3,3,,198 m²,250 m²
Rumah Cantik Pesona Johor Sehati Medan Johor,"Medan Johor, Medan",Rp 575 Juta,Rumah,2,1,1,90 m²,50 m²
Rumah Mewah Dan Luas Daerah Medan Sunggal,"Medan Sunggal, Medan",Rp 11 Miliar,Rumah,7,5,,712 m²,800 m²
Rumah Mewah Marelan Asri Residence Medan,"Medan Marelan, Medan",Rp 675 Juta,Rumah,3,2,2,84 m²,90 m²
Rumah Cantik Siap Huni Daerah Medan Johor,"Medan Johor, Medan",Rp 445 Juta,Rumah,2,1,1,86 m²,84 m²
Dijual Villa Palace Residence Jalan Mustang,"Medan Polonia, Medan","Rp 7,5 Miliar",Rumah,6,6,,176 m²,648 m²
"Komersial Murah Aset BRI, Medan Selayang, Kota Medan","Medan Selayang, Medan","Rp 1,65 Miliar Total",Ruko,,2,,70 m²,212 m²
Apartment Skyview Setiabudi Murah dan Strategis di Kota Medan,"Medan Selayang, Medan",Rp 350 Juta,Apartemen,1,1,,,24 m²
Dijual Murah Komplek Greenpark Daerahjamin Ginting,"Medan Tuntungan, Medan",Rp 300 Juta,Rumah,2,1,,72 m²,45 m²
Dijual Cepat Rumah Jalan Perjuangan Daerah Ringroad,"Medan Sunggal, Medan",Rp 750 Juta,Rumah,2,2,1,65 m²,105 m²
Dijual Cepat Rumah Komplek The Thames Daerah Sunggal,"Medan Sunggal, Medan",Rp 460 Juta,Rumah,2,1,1,78 m²,78 m²
Di Jual Ruma Siap Huni Komplek Jefferson Haus Kota Medan,"Medan Perjuangan, Medan",Rp 750 Juta,Rumah,2,2,,40 m²,90 m²
Rumah Siap Huni Citraland Helvetia Kota Medan,"Medan Helvetia, Medan","Rp 2,8 Miliar",Rumah,3,2,2,144 m²,112 m²
Di Jual Rumah Komplek Siap Huni Daerah Sekip Kota Medan,"Medan Barat, Medan","Rp 1,1 Miliar",Rumah,3,3,,64 m²,150 m²
Dijual Cepat Rumah Komplek Matahari Raya Daerah Helvetia,"Medan Helvetia, Medan",Rp 880 Juta,Rumah,2,2,1,75 m²,100 m²
Di Jual Rumah Komplek Siap Huni Daerah Krakatau Kota Medan,"Medan Timur, Medan",Rp 650 Juta,Rumah,3,2,,48 m²,110 m²
RUKO JALAN SEKSAMA,"Medan Kota, Medan",Rp 2 Miliar Total,Ruko,,3,,107 m²,107 m²
Rumah 2 Lantai Plus Canopy 658 Jt Di Setiabudi,"Medan Selayang, Medan",Rp 658 Juta,Rumah,3,2,1,96 m²,90 m²
Dijual Rumah Jl Sei Kera Lokasi Strategis,"Medan Perjuangan, Medan","Rp 2,7 Miliar",Rumah,,,,120 m²,1 m²
Dijual Murah Taman Malibu Indah Daerah Polonia,"Medan Kota, Medan","Rp 5,5 Miliar",Rumah,,,,202 m²,144 m²
Dijual Rumah Jl Budi Kemakmuran Komplek Budi Kemuliaan,"Medan Barat, Medan","Rp 1,6 Miliar",Rumah,,,,300 m²,337 m²
DIJUAL RUMAH MEWAH PIAZA RESIDENCE MEDAN HELVETIA,"Medan Helvetia, Medan","Rp 4,4 Miliar",Rumah,5,5,3,533 m²,1000 m²
Rumah Mewah Siap Huni Daerah Setiabudi Medan,"Medan Sunggal, Medan",Rp 988 Juta,Rumah,3,3,,90 m²,120 m²
RUMAH JALAN KARSA KOMPLEK THE PENTHOUSE,"Medan Barat, Medan",Rp 990 Juta,Rumah,3,2,,60 m²,100 m²
Townhouse Sekitar Krakatau Jalan Rakyat Komplek Jefferson Haus,"Medan Perjuangan, Medan",Rp 765 Juta,Rumah,2,2,1,48 m²,78 m²
Townhouse Semi Villa Jalan Rakyat Komplek Jefferson Haus,"Medan Perjuangan, Medan",Rp 765 Juta,Rumah,2,2,1,48 m²,78 m²
RUKO JALAN SEI KERA,"Medan Perjuangan, Medan","Rp 2,5 Miliar Total",Ruko,,4,,120 m²,312 m²
Townhouse Komplek Jefferson Haus Lokasi Strategis Jalan Rakyat,"Medan Perjuangan, Medan",Rp 765 Juta,Rumah,2,2,1,48 m²,78 m²
Townhouse Lokasi Strategis Jalan Rakyat Komplek Jefferson Haus,"Medan Perjuangan, Medan",Rp 765 Juta,Rumah,2,2,1,48 m²,78 m²
Rumah Lokasi Strategis Jl.Mataram Medan Sumatra Utara,"Medan Kota, Medan",Rp 22 Miliar,Rumah,2,2,,788 m²,788 m²
Rumah Mewah Di Komplek Mewah Dan Harga Bagus Cocok Umyuk Hunian,"Medan Selayang, Medan","Rp 5,5 Miliar",Rumah,4,4,1,570 m²,400 m²
Rumah Bagus Dan Nyanan Di H.m Joni. Cocok Untuk Hunian Dan Tempat Usahan,"Medan Area, Medan",Rp 980 Juta,Rumah,4,3,1,132 m²,168 m²
"Jual Rumah Eka Suka 7, Jl Medan Johor","Medan Johor, Medan",Rp 380 Juta,Rumah,2,2,,112 m²,72 m²
"Take Over Komplek Anisa Lala, Jl Medan Helvetia","Medan Helvetia, Medan",Rp 270 Juta,Rumah,3,2,,63 m²,100 m²
RUKO BISNIS PINGGIR JALAN MANDALA LOKASI RAMAI,"Medan Tembung, Medan","Rp 1,4 Miliar Total",Ruko,,3,,84 m²,224 m²
DIJUAL RUKO DI MEDAN,"Medan Sunggal, Medan",Rp 2 Miliar Total,Ruko,,4,,97 m²,299 m²
DIJUAL RUKO DI MEDAN,"Medan Sunggal, Medan",Rp 2 Miliar Total,Ruko,,4,,97 m²,299 m²
RUMAH SIAP HUNI  KOMPLEK NYAMAN JALAN BAKTI LUHUR,"Medan Helvetia, Medan",Rp 950 Juta,Rumah,2,2,1,64 m²,120 m²
RUKO BISNIS PINGGIR JALAN LOKASI INTI KOTA YANG SANGAT RAMAI,"Medan Tembung, Medan",Rp 700 Juta Total,Ruko,,2,,88 m²,160 m²
"RUKO BISNIS 2,5 TINGKAT  DEKAT PAJAK KRAKATAU","Medan Kota, Medan",Rp 850 Juta Total,Ruko,,2,,84 m²,200 m²
"Dijual Rumah Tua Di Jl. Gunung Seulawah, Daerah Krakatau ( 100m Dari Krakatau ) Dekat Umsu 4 Menit, Dekat Univ Nomensen, Medan.","Medan Timur, Medan","Rp 1,38 Miliar",Rumah,5,2,1,250 m²,210 m²
"Ruko Komplek Kopel Indah di Jl. Brigjend Katamso, Kp. Baru, Kec. Medan Maimun, Kota Medan, Sumatera Utara, Medan Maimun","Medan Maimun, Medan",Rp 690 Juta Total,Ruko,,2,,48 m²,48 m²
Dijual Rumah Komplek 600Meter dari Manhattan Ringroad,"Medan Sunggal, Medan",Rp 700 Juta,Rumah,3,2,1,72 m²,85 m²
Dijual Villa Mewah cantik Daerah Sunggal,"Medan Sunggal, Medan","Rp 4,5 Miliar",Rumah,5,6,1,663 m²,446 m²
Twinhouse Ringroad Lokasi Strategis Medan Sunggal,"Medan Sunggal, Medan",Rp 880 Juta,Rumah,3,2,1,120 m²,90 m²
RUKO WAHIDIN MEDAN AREA,"Medan Area, Medan","Rp 1,8 Miliar Total",Ruko,,3,,52 m²,212 m²
Rumah Di Ringroad 2 Lantai 900 Jutaan Shm,"Medan Sunggal, Medan",Rp 910 Juta,Rumah,3,2,1,102 m²,81 m²
"Rumah Medan Sunggal, Medan","Medan Sunggal, Medan",Rp 385 Juta,Rumah,3,2,1,126 m²,72 m²
"Rumah Bagus Medan Selayang, Medan","Medan Selayang, Medan","Rp 3,7 Miliar",Rumah,4,4,,349 m²,250 m²
"Rumah Bagus Medan Amplas, Medan","Medan Amplas, Medan",Rp 900 Juta,Rumah,4,3,,104 m²,110 m²
Villa Mewah Well Estate Daerah Medan Pancing,"Medan Tembung, Medan",Rp 688 Juta,Rumah,3,2,,49 m²,49 m²
"Komersial Murah Aset BRI, Medan Tembung, Medan","Medan Tembung, Medan",Rp 700 Juta Total,Ruko,,2,,100 m²,120 m²
Rumah dekat USU kota Medan Daerah Setiabudi,"Medan Selayang, Medan","Rp 1,26 Miliar",Rumah,3,3,2,90 m²,125 m²
Rumah Cantik Casablanca Daerah Medan Denai,"Medan Denai, Medan",Rp 540 Juta,Rumah,2,1,,59 m²,59 m²
Rumah 2 Lantai Luas Dijual Jalan Karyawan Medan Sunggal,"Medan Sunggal, Medan","Rp 4,5 Miliar",Rumah,5,6,1,636 m²,446 m²
Dijual Murah Villa Komplek Malibu Indah,"Medan Polonia, Medan",Rp 17 Miliar,Rumah,,,,600 m²,288 m²
RUKO JALAN GARUDA 2,"Medan Denai, Medan",Rp 1 Miliar,Ruko,,3,,119 m²,318 m²
Di Jual Rumah Siap Huni Komp Royal Sumatera Cluster Akasha Kota Medan,"Medan Tuntungan, Medan","Rp 1,6 Miliar",Rumah,2,3,1,84 m²,84 m²
RUMAH DALAM KOMPLEK SIAP HUNI MURAH BANGET,"Marelan, Medan",Rp 275 Juta,Rumah,2,1,2,84 m²,60 m²
Di Jual Rumah Siap Huni Baru Komplek The Penthouse Kota Medan,"Medan Barat, Medan",Rp 990 Juta,Rumah,3,2,,60 m²,100 m²
"Rumah Murah Daerah Asia, Sutrisno , Sabarudin","Medan Area, Medan","Rp 1,7 Miliar",Rumah,3,4,1,92 m²,204 m²
Rumah Lebar 7 Siap Huni Inti Kota Medan Komplek Royal Jati Mas,"Medan Timur, Medan",Rp 838 Juta,Rumah,2,2,1,84 m²,140 m²
Rumah 2 Tingkat Dalam Komplek ( Daerah Krakatau - Jemadi -  Bilal ),"Medan Timur, Medan",Rp 520 Juta,Rumah,3,2,,64 m²,128 m²
Dijual Ruko Strategis Siap Huni di Jalan Banda Aceh Medan,"Medan Kota, Medan",Rp 3 Miliar,Ruko,,5,,142 m²,142 m²
Rumah Lebar 8 Meter Komplek The Grand Menteng Indah,"Medan Denai, Medan","Rp 1,5 Miliar",Rumah,3,2,,120 m²,160 m²
Perumahan Elite American Style Minimalis Terawat Dan Bagus View Kolam Renang,"Medan Helvetia, Medan","Rp 11,5 Miliar",Rumah,5,7,1,248 m²,598 m²
Villa Well Estate Lokasi Prestige Daerah Pancing,"Medan Tembung, Medan",Rp 788 Juta,Rumah,3,2,,75 m²,75 m²
Ruko Mewah Empire Residence Medan Denai,"Medan Denai, Medan",Rp 818 Juta,Rumah,3,2,,68 m²,44 m²
Rumah Besar Pinggir Jalan Rasmi Samping Prsu,"Medan Helvetia, Medan","Rp 1,95 Miliar",Rumah,4,3,,180 m²,150 m²
Rumah Mewah Komplit Kolam Renang Dekat Tomang Elok Gatsu,"Medan Helvetia, Medan","Rp 1,95 Miliar",Rumah,5,5,,168 m²,180 m²
Rumah Dkt Pajak Sikambing Medan Helvetia,"Medan Helvetia, Medan",Rp 490 Juta,Rumah,2,2,1,106 m²,60 m²
Rumah Siap Huni Dkt Prsu Gatot Subroto,"Medan Helvetia, Medan",Rp 490 Juta,Rumah,2,2,1,100 m²,60 m²
Rumah Baru Siap Huni Lokasi Padang Bulan,"Medan Selayang, Medan",Rp 585 Juta,Rumah,2,1,1,78 m²,50 m²
Rumah Titi Kuning Dkt Sekolah Primeone School,"Medan Kota, Medan",Rp 540 Juta,Rumah,2,1,1,90 m²,50 m²
Jual Rumah Setiabudi Sp. Selayang Komplek Besar,"Medan Selayang, Medan",Rp 590 Juta,Rumah,3,2,1,78 m²,80 m²
Di Jual Rumah Mewah Lokasi Sangat Strategis Aman Dan Nyamann,"Medan Selayang, Medan",Rp 18 Miliar,Rumah,8,5,,1800 m²,700 m²
"Villa Elegant Dan Exclusive Komplek Pacific Palace, Medan Sunggal","Medan Sunggal, Medan","Rp 1,29 Miliar",Rumah,3,3,1,90 m²,121 m²
"Dijual Ruko Murah Di Jalan Japaris Medan di Jalan Japaris Medan

, Medan Area","Medan Area, Medan","Rp 1,25 Miliar Total",Ruko,,3,,88 m²,76 m²
Dijual Ruko Jalan Sutrisno Cocok Untuk Usaha,"Medan Area, Medan","Rp 1,9 Miliar Total",Ruko,,3,,92 m²,266 m²
Rumah Sederhana Daerah Padat Pemukiman,"Medan Tembung, Medan",Rp 500 Juta,Rumah,2,2,,72 m²,144 m²
Rumah Di Komplek Wartawan Medan,"Medan Timur, Medan","Rp 4,95 Miliar",Rumah,3,2,,437 m²,300 m²
Rumah Mewah Mulia Town House Ii Medan,"Medan Deli, Medan",Rp 900 Juta,Rumah,3,2,,90 m²,84 m²
Di Jual Ruko Siap Huni Terawat Kota Medan,"Medan Barat, Medan",Rp 725 Juta Total,Ruko,,2,,56 m²,130 m²
Dijual Ruko Petisah Jalan Ayahanda Komplek Royal Ayahanda Town,"Medan Petisah, Medan",Rp 850 Juta Total,Ruko,,3,1,40 m²,140 m²
"Dijual Murah Ruko 3,5 Tingkat Royal Ayahanda Town Jalan Ayahanda","Medan Petisah, Medan",Rp 880 Juta Total,Ruko,,3,1,40 m²,140 m²
"Komersial Murah Aset BRI, Medan Helvetia, Kota Medan","Medan Helvetia, Medan","Rp 1,44 Miliar Total",Ruko,,2,,90 m²,140 m²
Dijual Ruko Siap Huni Jalan Ayahanda Komplek Royal Ayahanda Town,"Medan Petisah, Medan",Rp 880 Juta Total,Ruko,,3,1,40 m²,140 m²
"Rumah Baru 2lantai Ready Dlm Komplek Lokasi Ringroad Rumah di Rimgroad Jl.Balam, Medan Sunggal","Medan Sunggal, Medan",Rp 750 Juta,Rumah,3,3,1,105 m²,90 m²
Rumah Mewah Bergaya Eropa Dekat Prime One School,"Medan Amplas, Medan",Rp 1 Miliar,Rumah,3,2,,84 m²,84 m²
Dijual Rumah Komplek Platinum Residence RIZKI,"Medan Sunggal, Medan","Rp 1,4 Miliar",Rumah,3,3,,160 m²,192 m²
Dijual Villa Komplek Bumi Johor Sentosa,"Medan Johor, Medan",Rp 750 Juta,Rumah,2,2,,189 m²,189 m²
Rumah 3 Kmar Tidur Dekat@usu,"Medan Selayang, Medan",Rp 585 Juta,Rumah,3,1,,108 m²,60 m²
Promo Cash 198jt Sunggal,"Medan Sunggal, Medan",Rp 198 Juta,Rumah,2,1,,72 m²,45 m²
Rumah Bekas Rasa Baru Seroja Ringroad,"Medan Sunggal, Medan",Rp 675 Juta,Rumah,3,3,,78 m²,105 m²
Di Jual Murah Villa Inti Kota Siap Huni,"Medan Kota, Medan","Rp 7,2 Miliar",Rumah,4,4,,294 m²,196 m²
RUMAH 2½ TINGKAT SIAP HUNI DAERAH SEKITAR KRAKATAU,"Medan Timur, Medan",Rp 1 Miliar,Rumah,3,2,,80 m²,160 m²
RUMAH 2½ TINGKAT SIAP HUNI MEDAN TIMUR,"Medan Timur, Medan","Rp 1,1 Miliar",Rumah,3,2,,80 m²,160 m²
"di Hunian Teratai Indah Tembung, Jl. Teratai, Medan","Medan Tembung, Medan",Rp 395 Juta,Rumah,2,1,,147 m²,52 m²
