nama,lokasi,harga,jenis_properti,jumlah_kamar_tidur,jumlah_kamar_mandi,garasi,luas_tanah,luas_bangunan
Rumah Hook 2 Lantai Jl Garu 2 Di Dalam Komplek Medan Amplas,"Medan Amplas, Medan",Rp 2 Miliar,Rumah,5,4,1,297 m²,297 m²
Komplek Dekat Primer One School Tepat di Jalan Besar A.H.Nasution,"Medan Johor, Medan",Rp 650 Juta,Rumah,2,2,1,20 m²,29 m²
Rumah Baru 2lantai Design Modern Lokasi Ringroad Dkt Rcw Mall,"Medan Sunggal, Medan",Rp 885 Juta,Rumah,3,2,1,108 m²,90 m²
Jual Beserta Perabot Posisi Hook Dalam Komplek Asoka,"Medan Selayang, Medan","Rp 3,9 Miliar",Rumah,6,6,,265 m²,464 m²
Di Jual Ruko Jalan Gatot Subroto Strategis Cocok Lokasi Usaha,"Medan Petisah, Medan",Rp 25 Miliar Total,Ruko,,7,,731 m²,2240 m²
Di Jual Ruko Gandeng Medan Polonia Murah 3 Lantai,"Medan Polonia, Medan",Rp 3 Miliar Total,Ruko,,3,,128 m²,384 m²
"Dijual Rumah Mewah Full Furnish Komplek Mercy di Medan Johor, Medan Johor","Medan Johor, Medan","Rp 2,1 Miliar",Rumah,4,3,1,162 m²,208 m²
Rumah Mewah Include Kolam Renang Tasbih 2,"Medan Sunggal, Medan","Rp 2,1 Miliar",Rumah,4,4,2,142 m²,200 m²
Rumah Mewah Include Kolam Renang Pribadi Dekat Prsu Rumah,"Medan Kota, Medan","Rp 1,95 Miliar",Rumah,5,5,2,168 m²,180 m²
Rumah Full Furnish Komplek Givency One,"Medan Helvetia, Medan","Rp 3,2 Miliar",Rumah,3,3,2,160 m²,230 m²
Rumah Cantik The Melody Daerah Medan Perjuangan,"Medan Perjuangan, Medan",Rp 395 Juta,Rumah,2,1,1,80 m²,52 m²
"Dijual Rumah Mewah di Perumahan Menteng Indah, Lokasi Strategis, Luas 261 m²","Medan Amplas, Medan","Rp 1,2 Miliar",Rumah,5,4,2,260 m²,180 m²
Dijual Rumah Komplek Marelan Centre Point Harga Nego Dekat Pusat Perbelanjaan,"Medan Marelan, Medan",Rp 700 Juta,Rumah,2,1,1,100 m²,76 m²
Rumah 2 Lantai Uk 12x23 Di Setia Budi,"Medan Selayang, Medan","Rp 1,7 Miliar",Rumah,5,5,3,276 m²,200 m²
Dijual Town House Krakatau Komplek Mados Royal Suite,"Medan Timur, Medan",Rp 850 Juta,Rumah,,2,,44 m²,110 m²
RUMAH LABU 2 MEDAN PETISAH,"Medan Petisah, Medan","Rp 4,3 Miliar",Rumah,5,4,,252 m²,504 m²
Rumah Mewah Siap Huni Daerah Medan Tuntungan,"Medan Tuntungan, Medan","Rp 1,4 Miliar",Rumah,4,3,1,120 m²,176 m²
Dijual Ruko Strategis Dan Murah Karya Cilincing Yos Sudarso,"Medan Barat, Medan",Rp 1 Miliar Total,Ruko,,,1,99 m²,216 m²
"Komplek Kopel Indah
Jalan Katamso Gang Kopel","Medan Maimun, Medan",Rp 760 Juta,Rumah,2,2,,48 m²,91 m²
Ruko Taruma,"Medan Baru, Medan","Rp 5,2 Miliar",Ruko,,3,,378 m²,315 m²
