iter	Passed	Remaining
400	17021	25425
401	17120	25467
402	17196	25474
403	17269	25476
404	17333	25464
405	17412	25474
406	17483	25473
407	17558	25476
408	17675	25540
409	17780	25586
410	17900	25652
411	18016	25713
412	18093	25716
413	18214	25781
414	18302	25799
415	18397	25827
416	18470	25823
417	18562	25844
418	18621	25821
419	18678	25793
420	18755	25793
421	18819	25777
422	18883	25758
423	18942	25733
424	19007	25715
425	19075	25702
426	19133	25676
427	19184	25638
428	19235	25602
429	19288	25568
430	19342	25535
431	19397	25503
432	19448	25466
433	19494	25424
434	19541	25381
435	19584	25333
436	19625	25284
437	19670	25239
438	19714	25193
439	19762	25152
440	19822	25126
441	19885	25104
442	19938	25069
443	19997	25041
444	20050	25006
445	20112	24983
446	20180	24965
447	20229	24926
448	20277	24884
449	20326	24843
450	20372	24799
451	20419	24755
452	20471	24719
453	20518	24676
454	20566	24634
455	20614	24593
456	20666	24555
457	20716	24516
458	20769	24480
459	20825	24447
460	20892	24427
461	20964	24413
462	21018	24377
463	21063	24332
464	21111	24289
465	21174	24264
466	21274	24281
467	21342	24261
468	21383	24210
469	21427	24162
470	21479	24124
471	21546	24103
472	21616	24083
473	21666	24043
474	21740	24029
475	21833	24035
476	21928	24043
477	22024	24051
478	22147	24089
479	22225	24077
480	22266	24025
481	22305	23971
482	22396	23973
483	22455	23940
484	22512	23905
485	22569	23869
486	22614	23822
487	22660	23774
488	22706	23728
489	22753	23681
490	22794	23629
491	22839	23582
492	22877	23527
493	22917	23474
494	22953	23417
495	22990	23361
496	23026	23304
497	23065	23250
498	23104	23196
499	23142	23142
500	23179	23086
501	23222	23037
502	23261	22984
503	23302	22932
504	23340	22878
505	23376	22821
506	23412	22765
507	23447	22708
508	23488	22657
509	23531	22608
510	23567	22553
511	23603	22497
512	23641	22443
513	23677	22387
514	23719	22338
515	23775	22301
516	23842	22274
517	23886	22226
518	23933	22180
519	23976	22132
520	24019	22083
521	24065	22037
522	24107	21987
523	24156	21943
524	24203	21898
525	24248	21851
526	24299	21809
527	24344	21762
528	24384	21710
529	24423	21658
530	24463	21606
531	24501	21553
532	24539	21501
533	24582	21452
534	24623	21401
535	24661	21348
536	24696	21292
537	24731	21237
538	24767	21183
539	24803	21129
540	24841	21075
541	24877	21022
542	24914	20968
543	24949	20913
544	24983	20858
545	25020	20804
546	25055	20750
547	25090	20695
548	25126	20641
549	25162	20587
550	25198	20533
551	25235	20481
552	25274	20429
553	25340	20400
554	25398	20364
555	25460	20331
556	25594	20355
557	25729	20380
558	25882	20419
559	26023	20447
560	26075	20405
561	26127	20362
562	26172	20315
563	26223	20271
564	26264	20221
565	26308	20173
566	26352	20124
567	26401	20079
568	26437	20025
569	26470	19968
570	26515	19921
571	26551	19867
572	26585	19811
573	26617	19754
574	26661	19706
575	26700	19654
576	26734	19599
577	26768	19543
578	26806	19491
579	26843	19438
580	26875	19382
581	26907	19325
582	26950	19276
583	26979	19218
584	27010	19161
585	27042	19105
586	27079	19052
587	27112	18997
588	27145	18941
589	27177	18885
590	27209	18830
591	27240	18773
592	27272	18718
